Year,typhoon_key,region_key,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Cumulative_Budget_To_Date,Cumulative_Variance_To_Date,Variance_Ratio_To_Date,typhoon_name_info_infra,Region_info_infra,Date,Province,Location,infra_project_count,typhoon_name_impact,Region_impact,Category,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),_merge,merge_source,has_infra_weather_data,has_impact_data
2024,KRISTINE AND LEON,REGION IV B,,,,,,,,,,,,Kristine and Leon,Region IV-B,Combined Effects,0.0,0.0,92293.0,170.0,1653.0,1823.0,397967553.79,759785300.86,right_only,impact_only,False,True
2024,KRISTINE AND LEON,REGION IX,,,,,,,,,,,,Kristine and Leon,Region IX,Combined Effects,0.0,0.0,69250.0,59.0,209.0,268.0,0.0,0.0,right_only,impact_only,False,True
2024,KRISTINE AND LEON,REGION V,,,,,,,,,,,,Kristine and Leon,Region V,Combined Effects,15.0,0.0,3255804.0,6776.0,80052.0,86828.0,5511010940.92,3826819839.58,right_only,impact_only,False,True
2024,KRISTINE AND LEON,REGION VI,,,,,,,,,,,,Kristine and Leon,Region VI,Combined Effects,0.0,0.0,602692.0,761.0,24262.0,25023.0,0.0,544528242.33,right_only,impact_only,False,True
2024,KRISTINE AND LEON,REGION VII,,,,,,,,,,,,Kristine and Leon,Region VII,Combined Effects,0.0,0.0,50895.0,8.0,107.0,115.0,226044.11,0.0,right_only,impact_only,False,True
2024,KRISTINE AND LEON,REGION VIII,,,,,,,,,,,,Kristine and Leon,Region VIII,Combined Effects,0.0,0.0,960155.0,275.0,4783.0,5058.0,0.0,342789853.66,right_only,impact_only,False,True
2024,KRISTINE AND LEON,REGION X,,,,,,,,,,,,Kristine and Leon,Region X,Combined Effects,1.0,1.0,13879.0,112.0,1338.0,1450.0,2000000.0,0.0,right_only,impact_only,False,True
2024,KRISTINE AND LEON,REGION XI,,,,,,,,,,,,Kristine and Leon,Region XI,Combined Effects,0.0,0.0,26473.0,46.0,443.0,489.0,0.0,0.0,right_only,impact_only,False,True
2024,KRISTINE AND LEON,REGION XII,,,,,,,,,,,,Kristine and Leon,Region XII,Combined Effects,0.0,0.0,111569.0,58.0,138.0,196.0,15000000.0,22898170.0,right_only,impact_only,False,True
2024,MARCE,CAR,,,,,,,,,,,,Marce,CAR,Typhoon,0.0,0.0,64405.0,58.0,4756.0,4814.0,0.0,0.0,right_only,impact_only,False,True
