Cyclone Name,Region,Year,Category,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP)
Julian,CAR,2024,Super Typhoon,0,0,75081,3,30,33,37963930.0,10510664.7
Julian,Region I,2024,Super Typhoon,4,0,262220,17,599,616,738157080.27,387835224.7
Julian,Region II,2024,Super Typhoon,1,12,43477,107,2087,2194,189062000.0,129600666.4
Kristine and Leon,BARMM,2024,Combined Effects,0,0,504766,99,147,246,0.0,0.0
Kristine and Leon,CALABARZON,2024,Combined Effects,0,2,1683269,7789,69646,77435,2704248400.73,553950227.89
Kristine and Leon,CAR,2024,Combined Effects,3,4,27660,6,345,351,101533428.4,22462246.6
Kristine and Leon,CARAGA,2024,Combined Effects,0,0,58224,23,183,206,65000.0,0.0
Kristine and Leon,NCR,2024,Combined Effects,0,0,232700,0,0,0,0.0,0.0
Kristine and Leon,Region I,2024,Combined Effects,0,0,571291,273,7941,8214,150500000.0,636555655.83
Kristine and Leon,Region II,2024,Combined Effects,1,0,246665,13,594,607,116441369.8,666014061.82
Kristine and Leon,Region III,2024,Combined Effects,2,4,1145022,14,135,149,1567066804.87,455033854.99
Kristine and Leon,Region IV-B,2024,Combined Effects,0,0,92293,170,1653,1823,397967553.79,759785300.86
Kristine and Leon,Region IX,2024,Combined Effects,0,0,69250,59,209,268,0.0,0.0
Kristine and Leon,Region V,2024,Combined Effects,15,0,3255804,6776,80052,86828,5511010940.92,3826819839.58
Kristine and Leon,Region VI,2024,Combined Effects,0,0,602692,761,24262,25023,0.0,544528242.33
Kristine and Leon,Region VII,2024,Combined Effects,0,0,50895,8,107,115,226044.11,0.0
Kristine and Leon,Region VIII,2024,Combined Effects,0,0,960155,275,4783,5058,0.0,342789853.66
Kristine and Leon,Region X,2024,Combined Effects,1,1,13879,112,1338,1450,2000000.0,0.0
Kristine and Leon,Region XI,2024,Combined Effects,0,0,26473,46,443,489,0.0,0.0
